source,title,summary,published,link
Лента.ру,Эмили Ратаковски объяснила беспорядочные интимные связи после развода,,"Mon, 15 Jun 2026 18:15:16 +0300",https://lenta.ru/news/2026/06/15/emili-ratakovski-ob-yasnila-besporyadochnye-intimnye-svyazi-posle-razvoda/
Лента.ру,«Радиостанция Судного дня» повторила две загадочные передачи 2021 и 2023 годов,,"Mon, 15 Jun 2026 18:13:25 +0300",https://lenta.ru/news/2026/06/15/radiostantsiya-sudnogo-dnya-povtorila-dve-zagadochnye-peredachi-2021-i-2023-godov/
Лента.ру,На Украине призвали закончить конфликт с Россией,,"Mon, 15 Jun 2026 18:11:53 +0300",https://lenta.ru/news/2026/06/15/na-ukraine-prizvali-zakonchit-konflikt-s-rossiey/
Лента.ру,Двух туристок из Израиля выгнали из сауны в Европе из-за кулона со звездой Давида,,"Mon, 15 Jun 2026 18:10:32 +0300",https://lenta.ru/news/2026/06/15/dvuh-turistok-iz-izrailya-vygnali-iz-sauny-v-evrope-iz-za-kulona-so-zvezdoy-davida/
Лента.ру,Известный комик рассказал о проблемах с украинскими друзьями,,"Mon, 15 Jun 2026 18:10:00 +0300",https://lenta.ru/news/2026/06/15/izvestnyy-komik-rasskazal-o-problemah-s-ukrainskimi-druzyami/
Лента.ру,Описаны последствия возможного удара России по заводам в Европе,,"Mon, 15 Jun 2026 18:09:00 +0300",https://lenta.ru/news/2026/06/15/opisany-posledstviya-vozmozhnogo-udara-rossii-po-zavodam-v-evrope/
Лента.ру,Один металл резко подешевел,,"Mon, 15 Jun 2026 18:08:55 +0300",https://lenta.ru/news/2026/06/15/odin-metall-rezko-podeshevel/
Лента.ру,Стало известно о состоянии экипажа потерпевшего крушение Ту-22М3 в Иркутской области,,"Mon, 15 Jun 2026 18:06:00 +0300",https://lenta.ru/news/2026/06/15/stalo-izvestno-o-sostoyanii-ekipazha-krusheniya-bombardirovschika-tu-22m3-v-irkutskoy-oblasti/
Лента.ру,Беглому экс-депутату Госдумы отменили меру пресечения,,"Mon, 15 Jun 2026 18:05:50 +0300",https://lenta.ru/news/2026/06/15/beglomu-eks-deputatu-gosdumy-otmenili-meru-presecheniya/
Лента.ру,В правительстве опровергли нехватку топлива у российских аграриев,,"Mon, 15 Jun 2026 18:05:00 +0300",https://lenta.ru/news/2026/06/15/v-pravitelstve-oprovergli-nehvatku-topliva-u-rossiyskih-agrariev/
Лента.ру,Российский спасатель за час вытащил из воды двух утопающих,,"Mon, 15 Jun 2026 18:03:03 +0300",https://lenta.ru/news/2026/06/15/rossiyskiy-spasatel-za-chas-vytaschil-iz-vody-dvuh-utopayuschih/
Лента.ру,В России жестко ответили на угрозу НАТО в адрес Калининграда и Санкт-Петербурга,,"Mon, 15 Jun 2026 18:01:00 +0300",https://lenta.ru/news/2026/06/15/v-rossii-zhestko-otvetili-na-ugrozu-nato-v-adres-kaliningrada-i-sankt-peterburga/
Лента.ру,Россиянин в социальных сетях развращал несовершеннолетних девочек,,"Mon, 15 Jun 2026 17:59:43 +0300",https://lenta.ru/news/2026/06/15/rossiyanin-v-sotsialnyh-setyah-razvraschal-nesovershennoletnih-devochek/
Лента.ру,В России объяснили падение ракеты Patriot на Киево-Печерскую лавру,,"Mon, 15 Jun 2026 17:59:02 +0300",https://lenta.ru/news/2026/06/15/v-rossii-ob-yasnili-padenie-rakety-patriot-na-kievo-pecherskuyu-lavru/
Лента.ру,Обнаружено природное средство для снижения воспаления легких,,"Mon, 15 Jun 2026 17:59:00 +0300",https://lenta.ru/news/2026/06/15/obnaruzheno-prirodnoe-sredstvo-dlya-snizheniya-vospaleniya-legkih/
Лента.ру,Семейное застолье закончилось трагедией в российском городе,,"Mon, 15 Jun 2026 17:57:00 +0300",https://lenta.ru/news/2026/06/15/syn/
Лента.ру,Женщина увязла в грязи по уши и три дня не могла выбраться,,"Mon, 15 Jun 2026 17:54:23 +0300",https://lenta.ru/news/2026/06/15/zhenschina-uvyazla-v-gryazi-po-ushi-i-tri-dnya-ne-mogla-vybratsya/
Лента.ру,Появились новые подробности романа 20-летней Валиевой с 33-летним хоккеистом,,"Mon, 15 Jun 2026 17:53:23 +0300",https://lenta.ru/news/2026/06/15/poyavilis-novye-podrobnosti-romana-20-letney-valievoy-s-33-letnim-hokkeistom/
Лента.ру,Москвичам назвали время пика жары,,"Mon, 15 Jun 2026 17:47:19 +0300",https://lenta.ru/news/2026/06/15/moskvicham-nazvali-vremya-pika-zhary/
Лента.ру,Турист сломал позвоночник во время похода и чудом выжил,,"Mon, 15 Jun 2026 17:42:00 +0300",https://lenta.ru/news/2026/06/15/turist-slomal-pozvonochnik-vo-vremya-pohoda-i-chudom-vyzhil/
